event_id,event_time,event_source,event_name,aws_region,source_ip,user_agent,identity_arn,identity_type,user_name,error_code,error_message,request_parameters,session_context,is_new_ip_for_identity,is_new_region_for_identity,event_hour,is_off_hours,call_frequency_10m,target_user_is_different,is_privilege_action,error_status,mfa_authenticated,data_source,attack_type,scenario_id,experiment_id,is_threat
5c4218d4-c716-4a8b-ba4b-ca5e2a487ded,2026-09-10T13:32:52.934471+00:00,ec2.amazonaws.com,GetCallerIdentity,us-east-1,192.168.1.50,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sandbox_operator"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:32:52.934471+00:00"", ""mfaAuthenticated"": ""true""}}",0,0,13,0,3,0,0,0,1,simulated_sandbox,none,SCN-BENIGN-01,exp-benign-std-985561,0
eb8a081d-4be4-4c8d-8fb7-fd3f26935f5a,2026-09-10T13:33:07.934471+00:00,s3.amazonaws.com,ListBuckets,us-east-1,192.168.1.50,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sandbox_operator"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:33:07.934471+00:00"", ""mfaAuthenticated"": ""true""}}",0,0,13,0,3,0,0,0,1,simulated_sandbox,none,SCN-BENIGN-01,exp-benign-std-985561,0
79db4967-e55a-4c88-bf41-587ca3a25fa5,2026-09-10T13:33:22.934471+00:00,ec2.amazonaws.com,DescribeInstances,us-east-1,192.168.1.50,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sandbox_operator"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:33:22.934471+00:00"", ""mfaAuthenticated"": ""true""}}",0,0,13,0,3,0,0,0,1,simulated_sandbox,none,SCN-BENIGN-01,exp-benign-std-985561,0
4d14c7fa-5d52-4e7d-bafb-add23053c0f2,2026-09-10T13:33:37.934471+00:00,ec2.amazonaws.com,DescribeSecurityGroups,us-east-1,192.168.1.50,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sandbox_operator"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:33:37.934471+00:00"", ""mfaAuthenticated"": ""true""}}",0,0,13,0,3,0,0,0,1,simulated_sandbox,none,SCN-BENIGN-01,exp-benign-std-985561,0
1e38fcfe-3ce2-4b94-872b-74d2487a4940,2026-09-10T13:32:16.639052+00:00,iam.amazonaws.com,AttachUserPolicy,us-east-1,198.51.100.24,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sec_sandbox_test_user"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:32:16.639052+00:00"", ""mfaAuthenticated"": ""false""}}",1,0,13,0,12,1,1,0,0,simulated_sandbox,privilege_escalation_user_policy,SCN-IAM-PE-01,exp-iam-att-usr-71183a,1
16695d48-715c-43ac-9a78-085b8c557522,2026-09-10T13:32:31.639052+00:00,iam.amazonaws.com,DetachUserPolicy,us-east-1,198.51.100.24,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sec_sandbox_test_user"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:32:31.639052+00:00"", ""mfaAuthenticated"": ""false""}}",1,0,13,0,12,1,0,0,0,simulated_sandbox,privilege_escalation_user_policy,SCN-IAM-PE-01,exp-iam-att-usr-71183a,1
88f7d5f4-26c2-4e4d-9971-f7c2d01ce54b,2026-09-10T13:32:52.664002+00:00,iam.amazonaws.com,AttachUserPolicy,us-east-1,198.51.100.24,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sec_sandbox_test_user"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:32:52.664002+00:00"", ""mfaAuthenticated"": ""false""}}",1,0,13,0,12,1,1,0,0,simulated_sandbox,privilege_escalation_user_policy,SCN-IAM-PE-01,exp-iam-att-usr-ddb6aa,1
f663c187-36db-40fd-a014-fd9a2e724000,2026-09-10T13:33:07.664002+00:00,iam.amazonaws.com,DetachUserPolicy,us-east-1,198.51.100.24,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sec_sandbox_test_user"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:33:07.664002+00:00"", ""mfaAuthenticated"": ""false""}}",1,0,13,0,12,1,0,0,0,simulated_sandbox,privilege_escalation_user_policy,SCN-IAM-PE-01,exp-iam-att-usr-ddb6aa,1
45d1ba5e-4323-454a-9320-e306609381f9,2026-09-10T13:32:52.771908+00:00,iam.amazonaws.com,CreateAccessKey,us-east-1,198.51.100.24,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sandbox_operator"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:32:52.771908+00:00"", ""mfaAuthenticated"": ""false""}}",1,0,13,0,12,0,1,0,0,simulated_sandbox,rogue_credential_creation,SCN-IAM-PE-03,exp-iam-key-cr-018fe3,1
92347118-8c65-4edb-bc3e-82efa61309ab,2026-09-10T13:33:07.771908+00:00,iam.amazonaws.com,UpdateAccessKey,us-east-1,198.51.100.24,aws-cli/2.11.0 Python/3.11.2 Linux/5.15.0,arn:aws:iam::123456789012:user/sandbox_operator,IAMUser,sandbox_operator,,,"{""userName"": ""sandbox_operator"", ""roleName"": null}","{""sessionIssuer"": {}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2026-09-10T13:33:07.771908+00:00"", ""mfaAuthenticated"": ""false""}}",1,0,13,0,12,0,1,0,0,simulated_sandbox,rogue_credential_creation,SCN-IAM-PE-03,exp-iam-key-cr-018fe3,1
